acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.753,https://api.spotify.com/v1/audio-analysis/224EVTFiLsdQignUFLvDeH,0.688,360960,0.62,224EVTFiLsdQignUFLvDeH,5.27E-06,11,0.158,-8.029,0,0.22,0.7501125,170.018,4,https://api.spotify.com/v1/tracks/224EVTFiLsdQignUFLvDeH,audio_features,spotify:track:224EVTFiLsdQignUFLvDeH,0.727
0.354,https://api.spotify.com/v1/audio-analysis/0OWcpVA83HI8Pb5DybDuoX,0.882,456940,0.777,0OWcpVA83HI8Pb5DybDuoX,0,5,0.135,-4.445,1,0.0504,0.44990625,121.985,4,https://api.spotify.com/v1/tracks/0OWcpVA83HI8Pb5DybDuoX,audio_features,spotify:track:0OWcpVA83HI8Pb5DybDuoX,0.533
0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94E-06,8,0.0574,-2.652,0,0.0593,0.27493125,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.656
0.266,https://api.spotify.com/v1/audio-analysis/46lvmzK8wxAy66tjzXXSh0,0.849,264483,0.655,46lvmzK8wxAy66tjzXXSh0,0,8,0.0781,-2.899,1,0.106,0.6997875,161.966,4,https://api.spotify.com/v1/tracks/46lvmzK8wxAy66tjzXXSh0,audio_features,spotify:track:46lvmzK8wxAy66tjzXXSh0,0.76
0.602,https://api.spotify.com/v1/audio-analysis/5W83ErFkO3aKAIS1WMi6u0,0.807,258800,0.803,5W83ErFkO3aKAIS1WMi6u0,0.00853,11,0.136,-4.156,1,0.126,0.26241875,91.987,4,https://api.spotify.com/v1/tracks/5W83ErFkO3aKAIS1WMi6u0,audio_features,spotify:track:5W83ErFkO3aKAIS1WMi6u0,0.706
0.323,https://api.spotify.com/v1/audio-analysis/5iwz1NiezX7WWjnCgY5TH4,0.826,238200,0.773,5iwz1NiezX7WWjnCgY5TH4,0,11,0.143,-4.218,0,0.0524,0.48061875,126.899,4,https://api.spotify.com/v1/tracks/5iwz1NiezX7WWjnCgY5TH4,audio_features,spotify:track:5iwz1NiezX7WWjnCgY5TH4,0.761
0.323,https://api.spotify.com/v1/audio-analysis/6FyRXC8tJUh863JCkyWqtk,0.767,258639,0.709,6FyRXC8tJUh863JCkyWqtk,0,1,0.0676,-4.47,1,0.336,0.76245625,171.993,4,https://api.spotify.com/v1/tracks/6FyRXC8tJUh863JCkyWqtk,audio_features,spotify:track:6FyRXC8tJUh863JCkyWqtk,0.72
0.252,https://api.spotify.com/v1/audio-analysis/31UjYv5vLsDkzchJOtUMtW,0.837,184436,0.791,31UjYv5vLsDkzchJOtUMtW,1.14E-06,4,0.188,-3.157,0,0.0773,0.262375,91.98,4,https://api.spotify.com/v1/tracks/31UjYv5vLsDkzchJOtUMtW,audio_features,spotify:track:31UjYv5vLsDkzchJOtUMtW,0.618
0.148,https://api.spotify.com/v1/audio-analysis/5BDP2tky8oMQJPS33frKVp,0.771,164440,0.382,5BDP2tky8oMQJPS33frKVp,0,1,0.104,-6.808,0,0.0514,0.28081875,94.931,4,https://api.spotify.com/v1/tracks/5BDP2tky8oMQJPS33frKVp,audio_features,spotify:track:5BDP2tky8oMQJPS33frKVp,0.535
0.146,https://api.spotify.com/v1/audio-analysis/0s5DNDV6LAKn2u2Ufa3VjQ,0.709,204453,0.771,0s5DNDV6LAKn2u2Ufa3VjQ,3.29E-06,7,0.249,-4.598,1,0.166,0.7750375,174.006,4,https://api.spotify.com/v1/tracks/0s5DNDV6LAKn2u2Ufa3VjQ,audio_features,spotify:track:0s5DNDV6LAKn2u2Ufa3VjQ,0.709
0.0361,https://api.spotify.com/v1/audio-analysis/7uH27oIt4a6cIFCA8ZPcyG,0.816,158400,0.754,7uH27oIt4a6cIFCA8ZPcyG,0,11,0.217,-2.75,0,0.111,0.3122875,99.966,4,https://api.spotify.com/v1/tracks/7uH27oIt4a6cIFCA8ZPcyG,audio_features,spotify:track:7uH27oIt4a6cIFCA8ZPcyG,0.533
0.39,https://api.spotify.com/v1/audio-analysis/2qG5sZ7Si6sdK74qLxedYM,0.882,161627,0.689,2qG5sZ7Si6sdK74qLxedYM,0.00325,6,0.0501,-4.027,1,0.124,0.29976875,97.963,4,https://api.spotify.com/v1/tracks/2qG5sZ7Si6sdK74qLxedYM,audio_features,spotify:track:2qG5sZ7Si6sdK74qLxedYM,0.746
0.498,https://api.spotify.com/v1/audio-analysis/5NPzbTzFxIQPaheZuPhn4f,0.864,215963,0.426,5NPzbTzFxIQPaheZuPhn4f,0.000228,7,0.145,-8.392,0,0.0561,0.4997125,129.954,4,https://api.spotify.com/v1/tracks/5NPzbTzFxIQPaheZuPhn4f,audio_features,spotify:track:5NPzbTzFxIQPaheZuPhn4f,0.477
0.241,https://api.spotify.com/v1/audio-analysis/6v0lAdFF4haL8xjBIUjtOw,0.673,201818,0.752,6v0lAdFF4haL8xjBIUjtOw,4.51E-05,2,0.0813,-3.572,0,0.0561,0.78748125,175.997,4,https://api.spotify.com/v1/tracks/6v0lAdFF4haL8xjBIUjtOw,audio_features,spotify:track:6v0lAdFF4haL8xjBIUjtOw,0.797
0.286,https://api.spotify.com/v1/audio-analysis/1Kjer1JoWuJGNwGV6Pbgv1,0.649,202040,0.502,1Kjer1JoWuJGNwGV6Pbgv1,0,5,0.166,-4.368,1,0.0437,0.23125,87,3,https://api.spotify.com/v1/tracks/1Kjer1JoWuJGNwGV6Pbgv1,audio_features,spotify:track:1Kjer1JoWuJGNwGV6Pbgv1,0.695
0.437,https://api.spotify.com/v1/audio-analysis/1LiN0Z98FkR1t0m8KmLcAH,0.79,190005,0.631,1LiN0Z98FkR1t0m8KmLcAH,0,8,0.158,-5.549,0,0.0425,0.27524375,94.039,4,https://api.spotify.com/v1/tracks/1LiN0Z98FkR1t0m8KmLcAH,audio_features,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,0.889
0.42,https://api.spotify.com/v1/audio-analysis/3dLiBBKbeUIhzGNeuo5JGS,0.641,244771,0.652,3dLiBBKbeUIhzGNeuo5JGS,1.74E-06,8,0.094,-8.575,0,0.264,0.7813875,175.022,4,https://api.spotify.com/v1/tracks/3dLiBBKbeUIhzGNeuo5JGS,audio_features,spotify:track:3dLiBBKbeUIhzGNeuo5JGS,0.406
0.0446,https://api.spotify.com/v1/audio-analysis/059bcIhyc2SBwm6sw2AZzd,0.877,231848,0.777,059bcIhyc2SBwm6sw2AZzd,3.46E-05,1,0.0863,-4.246,1,0.117,0.325125,102.02,4,https://api.spotify.com/v1/tracks/059bcIhyc2SBwm6sw2AZzd,audio_features,spotify:track:059bcIhyc2SBwm6sw2AZzd,0.706
0.291,https://api.spotify.com/v1/audio-analysis/6MJUCumnQsQEKbCy28tbCP,0.788,207853,0.771,6MJUCumnQsQEKbCy28tbCP,5.62E-05,4,0.172,-3.206,0,0.0563,0.3064875,99.038,4,https://api.spotify.com/v1/tracks/6MJUCumnQsQEKbCy28tbCP,audio_features,spotify:track:6MJUCumnQsQEKbCy28tbCP,0.701
0.391,https://api.spotify.com/v1/audio-analysis/4lzxJ4jCuFDXXGkE1LmpKR,0.857,267500,0.647,4lzxJ4jCuFDXXGkE1LmpKR,1.20E-06,11,0.0842,-4.152,0,0.0984,0.2873875,95.982,4,https://api.spotify.com/v1/tracks/4lzxJ4jCuFDXXGkE1LmpKR,audio_features,spotify:track:4lzxJ4jCuFDXXGkE1LmpKR,0.553
0.0165,https://api.spotify.com/v1/audio-analysis/2D3z17LBMJ2HEHeBFFjTLi,0.747,158800,0.74,2D3z17LBMJ2HEHeBFFjTLi,9.94E-05,4,0.101,-4.325,0,0.191,0.78786875,176.059,4,https://api.spotify.com/v1/tracks/2D3z17LBMJ2HEHeBFFjTLi,audio_features,spotify:track:2D3z17LBMJ2HEHeBFFjTLi,0.552
0.113,https://api.spotify.com/v1/audio-analysis/3g4UyIcQwutiG0TfW32GnX,0.805,219302,0.671,3g4UyIcQwutiG0TfW32GnX,0,5,0.278,-5.316,1,0.111,0.25611875,90.979,4,https://api.spotify.com/v1/tracks/3g4UyIcQwutiG0TfW32GnX,audio_features,spotify:track:3g4UyIcQwutiG0TfW32GnX,0.522
0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368,0.539,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,0.0621,0.2941375,97.062,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158
