acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.289,https://api.spotify.com/v1/audio-analysis/790uNrqzKWCvj8rR1QXNpU,0.796,212741,0.978,790uNrqzKWCvj8rR1QXNpU,0.00254,5,0.346,-1.266,0,0.0955,0.49999375,129.999,4,https://api.spotify.com/v1/tracks/790uNrqzKWCvj8rR1QXNpU,audio_features,spotify:track:790uNrqzKWCvj8rR1QXNpU,0.8,
0.0533,https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7,0.878,157067,0.619,6u7jPi22kF8CTQ3rb9DHE7,0,6,0.113,-5.56,1,0.102,0.53775625,136.041,4,https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7,audio_features,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,0.639,
0.103,https://api.spotify.com/v1/audio-analysis/5wdlz4N7s1Xyr4y4RXhZJM,0.739,177159,0.644,5wdlz4N7s1Xyr4y4RXhZJM,0,0,0.189,-5.881,0,0.0503,0.281225,94.996,4,https://api.spotify.com/v1/tracks/5wdlz4N7s1Xyr4y4RXhZJM,audio_features,spotify:track:5wdlz4N7s1Xyr4y4RXhZJM,0.315,
0.485,https://api.spotify.com/v1/audio-analysis/39ujbBjTwwqUFySaCYDMMT,0.77,178605,0.824,39ujbBjTwwqUFySaCYDMMT,0,1,0.318,-6.491,0,0.0851,0.7625375,172.006,4,https://api.spotify.com/v1/tracks/39ujbBjTwwqUFySaCYDMMT,audio_features,spotify:track:39ujbBjTwwqUFySaCYDMMT,0.49,
0.00725,https://api.spotify.com/v1/audio-analysis/39vrbjCMTRXEdiIr2IsBgd,0.832,181765,0.477,39vrbjCMTRXEdiIr2IsBgd,6.47E-05,0,0.205,-6.949,1,0.0481,0.32498125,101.997,4,https://api.spotify.com/v1/tracks/39vrbjCMTRXEdiIr2IsBgd,audio_features,spotify:track:39vrbjCMTRXEdiIr2IsBgd,0.844,
0.0187,https://api.spotify.com/v1/audio-analysis/5uaIbU3oHHcSOK6WFNK5nj,0.766,140463,0.618,5uaIbU3oHHcSOK6WFNK5nj,0.000115,11,0.181,-8.552,0,0.124,0.2815875,95.054,4,https://api.spotify.com/v1/tracks/5uaIbU3oHHcSOK6WFNK5nj,audio_features,spotify:track:5uaIbU3oHHcSOK6WFNK5nj,0.513,
0.0106,https://api.spotify.com/v1/audio-analysis/3QmolSZqjjLksTUvZJ6pPS,0.65,167120,0.619,3QmolSZqjjLksTUvZJ6pPS,0,0,0.167,-5.495,1,0.0555,0.67479375,157.967,4,https://api.spotify.com/v1/tracks/3QmolSZqjjLksTUvZJ6pPS,audio_features,spotify:track:3QmolSZqjjLksTUvZJ6pPS,0.657,
0.3,https://api.spotify.com/v1/audio-analysis/3sqRODOZ1Z6hR4F2tnFAlg,0.706,179326,0.674,3sqRODOZ1Z6hR4F2tnFAlg,0,9,0.202,-5.932,1,0.044,0.20625625,83.001,4,https://api.spotify.com/v1/tracks/3sqRODOZ1Z6hR4F2tnFAlg,audio_features,spotify:track:3sqRODOZ1Z6hR4F2tnFAlg,0.359,
0.0361,https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O,0.908,113013,0.517,53CJANUxooaqGOtdsBTh7O,1.73E-06,1,0.0949,-6.063,1,0.129,0.53761875,136.019,4,https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O,audio_features,spotify:track:53CJANUxooaqGOtdsBTh7O,0.471,
0.268,https://api.spotify.com/v1/audio-analysis/4f5kLqyOJ5ZPnalEVMQrB2,0.649,230948,0.716,4f5kLqyOJ5ZPnalEVMQrB2,4.51E-06,7,0.603,-3.936,1,0.0384,0.23093125,86.949,4,https://api.spotify.com/v1/tracks/4f5kLqyOJ5ZPnalEVMQrB2,audio_features,spotify:track:4f5kLqyOJ5ZPnalEVMQrB2,0.639,
0.454,https://api.spotify.com/v1/audio-analysis/0mJTAdmY8olbGQjopDYff3,0.444,196044,0.479,0mJTAdmY8olbGQjopDYff3,0,5,0.095,-5.586,1,0.0436,0.249325,89.892,4,https://api.spotify.com/v1/tracks/0mJTAdmY8olbGQjopDYff3,audio_features,spotify:track:0mJTAdmY8olbGQjopDYff3,0.315,
0.155,https://api.spotify.com/v1/audio-analysis/6cARnc9YVlBNigjNSX63pp,0.725,184433,0.912,6cARnc9YVlBNigjNSX63pp,7.68E-05,9,0.107,-3.665,0,0.0851,0.3378375,104.054,4,https://api.spotify.com/v1/tracks/6cARnc9YVlBNigjNSX63pp,audio_features,spotify:track:6cARnc9YVlBNigjNSX63pp,0.674,
0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290,0.792,2dpaYNEQHiRxtZbfNsse99,0,5,0.167,-2.749,1,0.0452,0.31259375,100.015,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671,
0.0112,https://api.spotify.com/v1/audio-analysis/47rbjDud83d3aqvbcTssei,0.725,180814,0.65,47rbjDud83d3aqvbcTssei,4.66E-06,7,0.586,-9.656,0,0.186,0.3434875,104.958,4,https://api.spotify.com/v1/tracks/47rbjDud83d3aqvbcTssei,audio_features,spotify:track:47rbjDud83d3aqvbcTssei,0.464,
0.00791,https://api.spotify.com/v1/audio-analysis/7ql71hBakyMi0Lxiq3Mugs,0.51,226747,0.835,7ql71hBakyMi0Lxiq3Mugs,0,3,0.219,-4.673,1,0.0447,0.56265,140.024,4,https://api.spotify.com/v1/tracks/7ql71hBakyMi0Lxiq3Mugs,audio_features,spotify:track:7ql71hBakyMi0Lxiq3Mugs,0.435,
0.0421,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,0.726,190440,0.554,4kV4N9D1iKVxx1KLvtTpjS,0,5,0.106,-5.29,0,0.0917,0.74999375,169.999,4,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,audio_features,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,0.335,
0.45,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,0.741,171030,0.52,6Qs4SXO9dwPj5GKvVOv8Ki,1.97E-06,8,0.222,-7.513,1,0.0656,0.3312375,102.998,4,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,0.347,
0.704,https://api.spotify.com/v1/audio-analysis/6tsOcBnaKgzK22yEiqRh8P,0.892,158587,0.507,6tsOcBnaKgzK22yEiqRh8P,3.14E-05,0,0.109,-8.282,1,0.378,0.58725,143.96,4,https://api.spotify.com/v1/tracks/6tsOcBnaKgzK22yEiqRh8P,audio_features,spotify:track:6tsOcBnaKgzK22yEiqRh8P,0.695,
0.178,https://api.spotify.com/v1/audio-analysis/5x3K3Ld54TtkYKdQvrFOV3,0.816,198026,0.922,5x3K3Ld54TtkYKdQvrFOV3,0,11,0.373,-2.963,0,0.149,0.2812875,95.006,4,https://api.spotify.com/v1/tracks/5x3K3Ld54TtkYKdQvrFOV3,audio_features,spotify:track:5x3K3Ld54TtkYKdQvrFOV3,0.887,
0.449,https://api.spotify.com/v1/audio-analysis/7bFx4We3iNjxmIxXBxou1G,0.534,276960,0.959,7bFx4We3iNjxmIxXBxou1G,0,1,0.354,-3.67,0,0.361,0.85985,187.576,3,https://api.spotify.com/v1/tracks/7bFx4We3iNjxmIxXBxou1G,audio_features,spotify:track:7bFx4We3iNjxmIxXBxou1G,0.751,
0.389,https://api.spotify.com/v1/audio-analysis/3Fj47GNK2kUF0uaEDgXLaD,0.85,221543,0.353,3Fj47GNK2kUF0uaEDgXLaD,6.68E-06,7,0.8,-10.267,1,0.334,0.42544375,118.071,4,https://api.spotify.com/v1/tracks/3Fj47GNK2kUF0uaEDgXLaD,audio_features,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,0.329,
0.549,https://api.spotify.com/v1/audio-analysis/7FGq80cy8juXBCD2nrqdWU,0.632,170770,0.686,7FGq80cy8juXBCD2nrqdWU,0,6,0.2,-7.665,0,0.243,0.24968125,89.949,4,https://api.spotify.com/v1/tracks/7FGq80cy8juXBCD2nrqdWU,audio_features,spotify:track:7FGq80cy8juXBCD2nrqdWU,0.329,
0.535,https://api.spotify.com/v1/audio-analysis/2P91MQbaiQOfbiz9VqhqKQ,0.752,197437,0.505,2P91MQbaiQOfbiz9VqhqKQ,2.55E-06,9,0.104,-7.621,1,0.253,0.2623125,91.97,4,https://api.spotify.com/v1/tracks/2P91MQbaiQOfbiz9VqhqKQ,audio_features,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,0.419,
0.424,https://api.spotify.com/v1/audio-analysis/0Iz4CkptElGHo16r797Jsb,0.799,256271,0.828,0Iz4CkptElGHo16r797Jsb,0,9,0.145,-4.846,0,0.0782,0.344,105.04,4,https://api.spotify.com/v1/tracks/0Iz4CkptElGHo16r797Jsb,audio_features,spotify:track:0Iz4CkptElGHo16r797Jsb,0.627,
0.865,https://api.spotify.com/v1/audio-analysis/75hrPAosuDiO9F3DKwVP12,0.332,313999,0.422,75hrPAosuDiO9F3DKwVP12,0,3,0.0763,-5.414,1,0.0449,0.15196875,74.315,4,https://api.spotify.com/v1/tracks/75hrPAosuDiO9F3DKwVP12,audio_features,spotify:track:75hrPAosuDiO9F3DKwVP12,0.217,
0.752,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,0.888,193143,0.395,4SSnFejRGlZikf02HLewEF,0.14,8,0.106,-14.645,1,0.324,0.4378625,120.058,4,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,audio_features,spotify:track:4SSnFejRGlZikf02HLewEF,0.162,
0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94E-06,8,0.0574,-2.652,0,0.0593,0.27493125,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.656,
0.0942,https://api.spotify.com/v1/audio-analysis/5QyOjKJhR1iyF0DHQM2IvW,0.829,186122,0.654,5QyOjKJhR1iyF0DHQM2IvW,5.01E-06,5,0.2,-6.26,0,0.0685,0.300075,98.012,4,https://api.spotify.com/v1/tracks/5QyOjKJhR1iyF0DHQM2IvW,audio_features,spotify:track:5QyOjKJhR1iyF0DHQM2IvW,0.335,
0.0174,https://api.spotify.com/v1/audio-analysis/09oZ9eXQ2fo6YDrPzJqAoP,0.729,177067,0.545,09oZ9eXQ2fo6YDrPzJqAoP,0.000274,0,0.369,-7.818,1,0.0316,0.331325,103.012,4,https://api.spotify.com/v1/tracks/09oZ9eXQ2fo6YDrPzJqAoP,audio_features,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,0.514,
0.635,https://api.spotify.com/v1/audio-analysis/6bdpj89aYEBjhpsenXAsmO,0.717,213632,0.416,6bdpj89aYEBjhpsenXAsmO,1.43E-06,7,0.0976,-9.875,0,0.0303,0.3126625,100.026,4,https://api.spotify.com/v1/tracks/6bdpj89aYEBjhpsenXAsmO,audio_features,spotify:track:6bdpj89aYEBjhpsenXAsmO,0.381,
0.00452,https://api.spotify.com/v1/audio-analysis/5SVpD60u9vjoQ2OeoKsTkb,0.867,180176,0.705,5SVpD60u9vjoQ2OeoKsTkb,0,10,0.0868,-3.893,0,0.0522,0.28115625,94.985,4,https://api.spotify.com/v1/tracks/5SVpD60u9vjoQ2OeoKsTkb,audio_features,spotify:track:5SVpD60u9vjoQ2OeoKsTkb,0.285,
0.153,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.841,212500,0.798,4w8niZpiMy6qz1mntFA5uM,3.33E-06,1,0.0618,-4.206,0,0.229,0.287175,95.948,4,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,audio_features,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.591,
0.547,https://api.spotify.com/v1/audio-analysis/2XKFnwB6djxrJCjR3PdeRb,0.577,163973,0.578,2XKFnwB6djxrJCjR3PdeRb,0.59,0,0.264,-9.146,0,0.0906,0.21853125,84.965,4,https://api.spotify.com/v1/tracks/2XKFnwB6djxrJCjR3PdeRb,audio_features,spotify:track:2XKFnwB6djxrJCjR3PdeRb,0.367,
0.0726,https://api.spotify.com/v1/audio-analysis/0xkGTPTijMU84dtHr3KQQi,0.417,341823,0.433,0xkGTPTijMU84dtHr3KQQi,0,4,0.123,-8.958,1,0.0415,0.7495,169.92,4,https://api.spotify.com/v1/tracks/0xkGTPTijMU84dtHr3KQQi,audio_features,spotify:track:0xkGTPTijMU84dtHr3KQQi,0.207,
0.632,https://api.spotify.com/v1/audio-analysis/1ZaeaGLhFSckG8sv1y7AWk,0.849,179444,0.592,1ZaeaGLhFSckG8sv1y7AWk,2.39E-06,6,0.108,-4.309,0,0.102,0.2497875,89.966,4,https://api.spotify.com/v1/tracks/1ZaeaGLhFSckG8sv1y7AWk,audio_features,spotify:track:1ZaeaGLhFSckG8sv1y7AWk,0.652,
0.0115,https://api.spotify.com/v1/audio-analysis/7heMX7gyHP0mhTlNgd7Lxd,0.721,179658,0.65,7heMX7gyHP0mhTlNgd7Lxd,0.000137,0,0.34,-6.95,0,0.136,0.50306875,130.491,5,https://api.spotify.com/v1/tracks/7heMX7gyHP0mhTlNgd7Lxd,audio_features,spotify:track:7heMX7gyHP0mhTlNgd7Lxd,0.391,
0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0,7,0.231,-6.362,1,0.0308,0.28624375,95.799,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.323,
0.051,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,0.901,197573,0.4,6TqXcAFInzjp0bODyvrWEq,0,0,0.0599,-8.575,1,0.126,0.5374,135.984,4,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,audio_features,spotify:track:6TqXcAFInzjp0bODyvrWEq,0.346,
0.117,https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt,0.587,218147,0.535,0e7ipj03S05BNilyu5bRzt,6.56E-05,5,0.131,-6.09,0,0.0898,0.68654375,159.847,4,https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt,audio_features,spotify:track:0e7ipj03S05BNilyu5bRzt,0.14,
0.0281,https://api.spotify.com/v1/audio-analysis/698ItKASDavgwZ3WjaWjtz,0.468,212107,0.627,698ItKASDavgwZ3WjaWjtz,7.97E-06,6,0.11,-5.085,1,0.0476,0.8102625,179.642,4,https://api.spotify.com/v1/tracks/698ItKASDavgwZ3WjaWjtz,audio_features,spotify:track:698ItKASDavgwZ3WjaWjtz,0.159,
