acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.795,https://api.spotify.com/v1/audio-analysis/4OBZT9EnhYIV17t4pGw7ig,0.473,209400,0.371,4OBZT9EnhYIV17t4pGw7ig,0,4,0.109,-10.219,0,0.0405,0.15755,75.208,4,https://api.spotify.com/v1/tracks/4OBZT9EnhYIV17t4pGw7ig,audio_features,spotify:track:4OBZT9EnhYIV17t4pGw7ig,0.413,
0.051,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,0.901,197573,0.4,6TqXcAFInzjp0bODyvrWEq,0,0,0.0599,-8.575,1,0.126,0.5374,135.984,4,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,audio_features,spotify:track:6TqXcAFInzjp0bODyvrWEq,0.346,
0.172,https://api.spotify.com/v1/audio-analysis/3id2EVGKc3eFAMn9nFnB0r,0.538,205440,0.409,3id2EVGKc3eFAMn9nFnB0r,0,9,0.11,-6.581,0,0.0505,0.7614875,171.838,4,https://api.spotify.com/v1/tracks/3id2EVGKc3eFAMn9nFnB0r,audio_features,spotify:track:3id2EVGKc3eFAMn9nFnB0r,0.265,
0.701,https://api.spotify.com/v1/audio-analysis/0Eqg0CQ7bK3RQIMPw1A7pl,0.559,286928,0.422,0Eqg0CQ7bK3RQIMPw1A7pl,1.99E-06,11,0.0853,-11.89,1,0.195,0.1500125,74.002,4,https://api.spotify.com/v1/tracks/0Eqg0CQ7bK3RQIMPw1A7pl,audio_features,spotify:track:0Eqg0CQ7bK3RQIMPw1A7pl,0.191,
0.229,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,0.717,207320,0.653,3e9HZxeyfWwjeyPAMmWSSQ,0,1,0.101,-5.634,1,0.0658,0.3560375,106.966,4,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,audio_features,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.412,
0.0427,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.842,181040,0.734,4y3OI86AEP6PQoDE6olYhO,0,1,0.106,-5.065,0,0.0588,0.5497375,137.958,4,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.952,
0.45,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,0.741,171030,0.52,6Qs4SXO9dwPj5GKvVOv8Ki,1.97E-06,8,0.222,-7.513,1,0.0656,0.3312375,102.998,4,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,0.347,
0.776,https://api.spotify.com/v1/audio-analysis/3WUEs51GpcvlgU7lehLgLh,0.491,318814,0.314,3WUEs51GpcvlgU7lehLgLh,4.76E-06,10,0.152,-8.58,1,0.0301,0.48075625,126.921,4,https://api.spotify.com/v1/tracks/3WUEs51GpcvlgU7lehLgLh,audio_features,spotify:track:3WUEs51GpcvlgU7lehLgLh,0.295,
0.132,https://api.spotify.com/v1/audio-analysis/6GIzDc4xBUeYHwubWwTrhC,0.45,282094,0.648,6GIzDc4xBUeYHwubWwTrhC,2.37E-05,10,0.11,-4.516,1,0.0308,0.5925875,144.814,4,https://api.spotify.com/v1/tracks/6GIzDc4xBUeYHwubWwTrhC,audio_features,spotify:track:6GIzDc4xBUeYHwubWwTrhC,0.282,
0.268,https://api.spotify.com/v1/audio-analysis/0Fh6hgq979963fIxr2VBF2,0.351,254025,0.35,0Fh6hgq979963fIxr2VBF2,0,6,0.155,-8.861,1,0.0291,0.184925,79.588,4,https://api.spotify.com/v1/tracks/0Fh6hgq979963fIxr2VBF2,audio_features,spotify:track:0Fh6hgq979963fIxr2VBF2,0.204,
