acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.207,https://api.spotify.com/v1/audio-analysis/4LTHcXXwN8OW4fYm5sVNPP,0.798,233109,0.523,4LTHcXXwN8OW4fYm5sVNPP,0.000769,11,0.119,-9.695,0,0.0328,0.37521875,110.035,4,https://api.spotify.com/v1/tracks/4LTHcXXwN8OW4fYm5sVNPP,audio_features,spotify:track:4LTHcXXwN8OW4fYm5sVNPP,0.155
0.111,https://api.spotify.com/v1/audio-analysis/1DZn3kv6JAsqKw8iNWGWP0,0.923,173190,0.648,1DZn3kv6JAsqKw8iNWGWP0,2.73E-06,1,0.21,-4.957,1,0.244,0.43725625,119.961,4,https://api.spotify.com/v1/tracks/1DZn3kv6JAsqKw8iNWGWP0,audio_features,spotify:track:1DZn3kv6JAsqKw8iNWGWP0,0.542
0.0183,https://api.spotify.com/v1/audio-analysis/24mpJgP2YZUBif9NvmYyh4,0.692,210232,0.518,24mpJgP2YZUBif9NvmYyh4,0,1,0.284,-9.391,1,0.0407,0.300125,98.02,4,https://api.spotify.com/v1/tracks/24mpJgP2YZUBif9NvmYyh4,audio_features,spotify:track:24mpJgP2YZUBif9NvmYyh4,0.326
0.522,https://api.spotify.com/v1/audio-analysis/3PnnOWYdWL6nu4nVj49llh,0.73,133012,0.535,3PnnOWYdWL6nu4nVj49llh,0,11,0.0947,-10.247,0,0.231,0.71294375,164.071,4,https://api.spotify.com/v1/tracks/3PnnOWYdWL6nu4nVj49llh,audio_features,spotify:track:3PnnOWYdWL6nu4nVj49llh,0.651
0.74,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,0.652,169354,0.557,2qxmye6gAegTMjLKEBoR3d,0,1,0.124,-5.714,0,0.0318,0.62545625,150.073,4,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,audio_features,spotify:track:2qxmye6gAegTMjLKEBoR3d,0.483
0.139,https://api.spotify.com/v1/audio-analysis/27OWNTEEtJCFVejrh5mqgv,0.704,172609,0.521,27OWNTEEtJCFVejrh5mqgv,0,1,0.0998,-6.271,1,0.135,0.56138125,139.821,4,https://api.spotify.com/v1/tracks/27OWNTEEtJCFVejrh5mqgv,audio_features,spotify:track:27OWNTEEtJCFVejrh5mqgv,0.358
0.155,https://api.spotify.com/v1/audio-analysis/4NkKfZe4USK76vt2dVnIQ8,0.828,202528,0.855,4NkKfZe4USK76vt2dVnIQ8,0,7,0.286,-5.314,1,0.135,0.48785,128.056,4,https://api.spotify.com/v1/tracks/4NkKfZe4USK76vt2dVnIQ8,audio_features,spotify:track:4NkKfZe4USK76vt2dVnIQ8,0.261
0.129,https://api.spotify.com/v1/audio-analysis/4GjIoWGPLf7C8LcjK1UNlS,0.756,283200,0.606,4GjIoWGPLf7C8LcjK1UNlS,0,2,0.128,-8.74,1,0.273,0.43923125,120.277,4,https://api.spotify.com/v1/tracks/4GjIoWGPLf7C8LcjK1UNlS,audio_features,spotify:track:4GjIoWGPLf7C8LcjK1UNlS,0.372
0.217,https://api.spotify.com/v1/audio-analysis/5CaKpl8JB1FMCbsgh0sgO8,0.533,197967,0.541,5CaKpl8JB1FMCbsgh0sgO8,4.39E-06,6,0.11,-7.854,1,0.0252,0.58834375,144.135,4,https://api.spotify.com/v1/tracks/5CaKpl8JB1FMCbsgh0sgO8,audio_features,spotify:track:5CaKpl8JB1FMCbsgh0sgO8,0.335
0.326,https://api.spotify.com/v1/audio-analysis/6eYKSd5QD0Xj45ZDDt47dg,0.639,167252,0.612,6eYKSd5QD0Xj45ZDDt47dg,0,11,0.29,-8.145,0,0.0611,0.2502125,90.034,4,https://api.spotify.com/v1/tracks/6eYKSd5QD0Xj45ZDDt47dg,audio_features,spotify:track:6eYKSd5QD0Xj45ZDDt47dg,0.289
