acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,speechiness,tempo_normalised,tempo,valence,Popularity,Language,Genre
0.237,0.686,224483,0.842,4EjUFjzi4ErWjklOA3Aslu,0,0.0683,-4.423,0.1,0.41215,115.944,0.519,73,Korean,K-pop
0.678,0.663,157076,0.685,5ojNTROUJJgCFFbdD3xTZn,0,0.122,-6.163,0.163,0.5489625,137.834,0.312,73,German,Hip Hop
0.333,0.737,234829,0.709,6r46lnXFbE9fr2d3KNaGbe,0,0.289,-6.889,0.045,0.47498125,125.997,0.556,74,Spanish,Bachata
0.128,0.734,235315,0.793,5bITfqKGaPakO1l99hOMsI,0,0.0658,-4.731,0.0454,0.24975625,89.961,0.511,74,Spanish,Latin Pop
0.429,0.684,245440,0.762,2alIsNw1mqEShbWyO1HXZZ,0,0.0852,-5.18,0.0501,0.76255625,172.009,0.892,74,Spanish,Latin Pop
0.181,0.707,246334,0.791,1ZPpGPko8oULTmi34rozMh,0,0.102,-4.481,0.035,0.35615625,106.985,0.678,74,Korean,K-pop
0.233,0.784,166725,0.654,3aYAAXlB1yvUs5MJ0FI3bh,0,0.163,-6.674,0.283,0.300225,98.036,0.661,74,German,Hip Hop
0.0849,0.751,159518,0.529,5d35jcJj7WjDQBOHCHPY6t,0,0.0944,-7.407,0.143,0.3141375,100.262,0.33,74,German,Hip Hop
0.00431,0.663,259196,0.92,7DM4BPaS7uofFul3ywMe46,1.69E-05,0.101,-4.07,0.226,0.31209375,99.935,0.533,75,Spanish,Latin Pop
0.0273,0.8,170133,0.841,17UUYZ290omPaJY4wKeyHh,0,0.291,-2.817,0.0524,0.27513125,94.021,0.798,75,Spanish,Reggaeton
0.547,0.76,210323,0.838,5hEM0JchdVzQ5PwvSfITeX,1.30E-06,0.0664,-3.828,0.0529,0.2690625,93.05,0.745,75,Spanish,Latin Pop
0.00219,0.709,260234,0.857,03iCbZaM4OkRR4We6wIzvx,0,0.103,-3.394,0.0881,0.4752375,126.038,0.446,75,Korean,K-pop
0.445,0.347,276708,0.578,5cQB9fbuQCz4muQUFkv3rR,0,0.231,-7.525,0.0626,0.2295625,86.73,0.226,75,Korean,K-pop
