year,rank,artist,title,id
2018,1,Drake,God's Plan,6DCZcSspjsKoFjzjrWoCdn
2018,2,Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v
2018,3,Bebe Rexha & Florida Georgia Line,Meant To Be,7iDa6hUg2VgEL1o1HjmfBn
2018,4,Camila Cabello Featuring Young Thug,Havana,1rfofaqEpACxVEHIZBJe6W
2018,5,Post Malone Featuring 21 Savage,Rockstar,0e7ipj03S05BNilyu5bRzt
2018,6,Post Malone Featuring Ty Dolla $ign,Psycho,3swc6WTsr7rl9DqQKQA55C
2018,7,"Cardi B, Bad Bunny & J Balvin",I Like It,58q2HKrzhC3ozto2nDdN4z
2018,8,"Zedd, Maren Morris & Grey",The Middle,09IStsImFySgyp0pIQdqAc
2018,9,Drake,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ
2018,10,Maroon 5 Featuring Cardi B,Girls Like You,6FRLCMO5TUHTexlWo8ym1W
2018,11,Drake,Nice For What,3CA9pLiwRIGtUBiMjbZmRw
2018,12,Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR
2018,13,Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK
2018,14,Bruno Mars & Cardi B,Finesse,3Vo4wInECJQuz9BIBMOu8i
2018,15,Ella Mai,Boo'd Up,0At2qAoaVjIwWNAqrscXli
2018,16,Dua Lipa,New Rules,2ekn2ttSfGqwhhate0LSR0
2018,17,XXXTENTACION,Sad!,3ee8Jmje8o58CHK66QrVC2
2018,18,Camila Cabello,Never Be The Same,4eWQlBRaTjPPUlzacqEeoQ
2018,19,Khalid & Normani,Love Lies,45Egmo7icyopuzJN0oMEdk
2018,20,Ariana Grande,No Tears Left To Cry,2qT1uLXPVPzGgFOx4jtEuo
2018,21,Bazzi,Mine,7uzmGiiJyRfuViKKK3lVmR
2018,22,Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB
2018,23,BlocBoy JB Featuring Drake,Look Alive,4qKcDkK6siZ7Jp1Jb4m0aL
2018,24,Taylor Swift,Delicate,6NFyWDv5CjfwuzoCkw47Xf
2018,25,Lil Baby & Drake,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ
2018,26,Marshmello & Anne-Marie,Friends,08bNPGLD8AhKpnnERrAc6G
2018,27,Halsey,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl
2018,28,Tyga Featuring Offset,Taste,5IaHrVsrferBYDm0bDyABy
2018,29,NF,Let You Down,52okn5MNA47tk87PeZJLEL
2018,30,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,2Xqd0wUttjueBfdcltADOv
2018,31,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,4QIyEq7TcTdAcxjI2AFlAK
2018,32,Dan + Shay,Tequila,42fw0rxRO2xbesF6mJfd4Y
2018,33,Portugal. The Man,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK
2018,34,"Migos, Nicki Minaj & Cardi B",MotorSport,4wFjTWCunQFKtukqrNijEt
2018,35,Lauv,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9
2018,36,5 Seconds Of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE
2018,37,Imagine Dragons,Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb
2018,38,Offset & Metro Boomin,Ric Flair Drip,7sO5G9EABYOXQKNPNiE9NR
2018,39,Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh
2018,40,The Weeknd & Kendrick Lamar,Pray For Me,77UjLW8j5UAGAGVGhR5oUK
2018,41,Selena Gomez,Back To You,4hQ6UGyWQIGJmHSo0J88JW
2018,42,Travis Scott,Sicko Mode,2xLMifQCjDGFmkHkpNLD9h
2018,43,Migos Featuring Drake,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP
2018,44,Lil Pump,Gucci Gang,43ZyHQITOjhciSUUNPVRHc
2018,45,G-Eazy & Halsey,Him & I,5k38wzpLb15YgncyWdTZE4
2018,46,Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH
2018,47,Kendrick Lamar & SZA,All The Stars,3GCdLUSnKSMJhs4Tj6CV3s
2018,48,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf
2018,49,Sam Smith,Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV
2018,50,Kendrick Lamar Featuring Zacari,Love.,6PGoSes0D9eUDeeAafB2As
2018,51,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9
2018,52,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct
2018,53,Kane Brown,Heaven,1HXy5I3HTWq8OvxCn0z7G7
2018,54,Cardi B,Bodak Yellow (Money Moves),2771LMNxwf62FTAdpJMQfM
2018,55,Lil Dicky Featuring Chris Brown,Freaky Friday,10Igtw8bSDyyFs7KIsKngZ
2018,56,6ix9ine,Gummo,4HbiCvH1R7mVOJ7KY7JQBD
2018,57,Rich The Kid,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6
2018,58,Maroon 5,Wait,3T9CfDxFYqZWSKxd0BhZrb
2018,59,Cardi B,Be Careful,2Yl4OmDby9iitgNWZPwxkd
2018,60,Selena Gomez X Marshmello,Wolves,0tBbt8CrmxbjRP0pueQkyU
2018,61,Cardi B Featuring 21 Savage,Bartier Cardi,0dIoGTQXDh1wVnhIiSyYEa
2018,62,Ariana Grande,God Is A Woman,5OCJzvD7sykQEKHH7qAC3C
2018,63,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,0ZNrc4kNeQYD9koZ3KvCsy
2018,64,Demi Lovato,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0
2018,65,Charlie Puth,How Long,6wmAHw1szh5RCKSRjiXhPe
2018,66,MAX Featuring gnash,Lights Down Low,1sYSP7gKa5kdKIfhANfori
2018,67,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
2018,68,Calvin Harris & Dua Lipa,One Kiss,7ef4DlsgrMEH11cDZd32M6
2018,69,Imagine Dragons,Natural,2FY7b99s15jUprqC0M5NCT
2018,70,Jason Aldean,You Make It Easy,2zMDMCtGzTOD8qVHyznGIl
2018,71,Ed Sheeran,Shape Of You,7qiZfU4dY1lWllzX7mPBI3
2018,72,Gucci Mane Featuring Migos,I Get The Bag,1XRgIKC5TPwo7nWGyKqgG0
2018,73,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,5WvAo7DNuPRmk4APhdPzi8
2018,74,A$AP Ferg Featuring Nicki Minaj,Plain Jane,4dVpf9jZjcORqGTLUaeYj9
2018,75,Miguel Featuring Travis Scott,Sky Walker,46lg3BbcutEvBWXmC8BeTm
2018,76,Thomas Rhett,Marry Me,0OWZFobGSIW9GrSlQ9C5pc
2018,77,"benny blanco, Halsey & Khalid",Eastside,0d2iYfpKoM0QCKvcLCkBao
2018,78,The Weeknd,Call Out My Name,4MPTj8lMMvxLwT3EwuXFop
2018,79,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,51rXHuKN8Loc4sUlKPODgH
2018,80,Marshmello & Bastille,Happier,2dpaYNEQHiRxtZbfNsse99
2018,81,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote,3V8UKqhEK5zBkBb6d6ub8i
2018,82,Florida Georgia Line,Simple,4L9Ds4mpD3SuYoWwFUlv16
2018,83,N*E*R*D & Rihanna,Lemon,4PpuH4mxL0rD35mOWaLoKS
2018,84,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV
2018,85,Justin Timberlake Featuring Chris Stapleton,Say Something,1LhMopPAallLeaeNutqbgS
2018,86,Drake,I'm Upset,3qN5qMTKyEEmiTZD38BNTT
2018,87,Kenny Chesney,Get Along,2ZFrEp20VO25BXYhMxh0GW
2018,88,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL
2018,89,Maroon 5 Featuring SZA,What Lovers Do,0GxQ1A5L9xnMOytbP6eKBG
2018,90,Nicky Jam x J Balvin,X,39N9RPD9MRb5WmoLzNzPeA
2018,91,YoungBoy Never Broke Again,Outside Today,5PIfH6BzcmH04RDmtzF0BN
2018,92,Ella Mai,Trip,6CTWathupIiDs7U4InHnDA
2018,93,Daddy Yankee,Dura,6KuqAtoeVzxAYOaMveLNpH
2018,94,XXXTENTACION,Changes,7AFASza1mXqntmGtbxXprO
2018,95,Brett Young,Mercy,2VIPU72L6tIR4w8J8ap6Kp
2018,96,Luke Combs,One Number Away,4gB7HrYHbJVJ5RFOjxmoq4
2018,97,Rae Sremmurd & Juicy J,Powerglide,1BuZAIO8WZpavWVbbq3Lci
2018,98,Dua Lipa,IDGAF,76cy1WJvNGJTj78UqeA5zr
2018,99,J Balvin & Willy William Featuring Beyonce,Mi Gente,7COfe3P7KgfwDwIRB8LIDw
2018,100,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP
2017,1,Ed Sheeran,Shape Of You,0FE9t6xYkqWXU2ahLh6D8X
2017,2,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,6rPO02ozF3bM7NnOV4h6s2
2017,3,Bruno Mars,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU
2017,4,Kendrick Lamar,Humble.,7KXjTSCq5nL1LoYtL7XAwS
2017,5,The Chainsmokers & Coldplay,Something Just Like This,6RUKPb4LETWmmr3iAEQktW
2017,6,Migos Featuring Lil Uzi Vert,Bad And Boujee,4Km5HrUvYTaSUfiSGPJeQR
2017,7,The Chainsmokers Featuring Halsey,Closer,7BKLCZ1jbUBVqRi2FVlTVw
2017,8,Sam Hunt,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO
2017,9,Imagine Dragons,Believer,0pqnGHJpmpxLKifKRmU6WP
2017,10,Post Malone Featuring Quavo,Congratulations,3a1lNhkSLSkpJE4MSHpDu9
2017,11,James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh
2017,12,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,3DXncPQOG4VBw3QHh3S817
2017,13,Lil Uzi Vert,XO TOUR Llif3,7GX5flRQZVHRAGd6B4TmDO
2017,14,Future,Mask Off,0VgkVdmE4gld66l8iyGjgx
2017,15,French Montana Featuring Swae Lee,Unforgettable,3B54sVLJ402zGa6Xm4YGNe
2017,16,Bruno Mars,24K Magic,0KKkJNfGyhkQ5aFogxQAPU
2017,17,Zedd & Alessia Cara,Stay,6uBhi9gBXWjanegOb2Phh0
2017,18,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts,1OAh8uOEOvTDqkKFsKksCi
2017,19,Rae Sremmurd Featuring Gucci Mane,Black Beatles,6fujklziTHa8uoM5OQSfIo
2017,20,The Weeknd Featuring Daft Punk,Starboy,7MXVkk9YMctZqd1Srtv4MB
2017,21,Khalid,Location,152lZdxL1OR0ZMW6KquMif
2017,22,Charlie Puth,Attention,5cF0dROlMOK5uNZtivgu50
2017,23,Shawn Mendes,There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml
2017,24,Cardi B,Bodak Yellow (Money Moves),2771LMNxwf62FTAdpJMQfM
2017,25,Childish Gambino,Redbone,0wXuerDYiBnERgIpbb3JBR
2017,26,Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),6yIdwnpDHufLWgQcveTPMk
2017,27,Kygo x Selena Gomez,It Ain't Me,3eR23VReFzcdmS7TYCrhCe
2017,28,KYLE Featuring Lil Yachty,iSpy,2EEeOnHehOozLq4aS0n6SL
2017,29,Julia Michaels,Issues,0xG0SHshCStMEyNbNC5d4k
2017,30,Alessia Cara,Scars To Your Beautiful,42ydLwx4i5V49RXHOozJZq
2017,31,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV
2017,32,Niall Horan,Slow Hands,2cOUlop2ZakjOKe4WinesN
2017,33,Rihanna,Love On The Brain,5oO3drDxtziYU2H1X23ZIp
2017,34,The Weeknd Featuring Daft Punk,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV
2017,35,Big Sean,Bounce Back,0SGkqnVQo9KPytSri1H6cF
2017,36,Liam Payne Featuring Quavo,Strip That Down,4Ro98RCK90oHqqSZUnTFq5
2017,37,Drake,Fake Love,343YBumqHu19cGoGARUTsd
2017,38,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,5o3GnrcFtvkdf3zFznuSbA
2017,39,Taylor Swift,Look What You Made Me Do,1JbR9RDP3ogVNEWFgNXAjh
2017,40,Ed Sheeran,Castle On The Hill,6PCUP3dWmTjcTtXY02oFdT
2017,41,Machine Gun Kelly x Camila Cabello,Bad Things,1PSBzsahR2AKwLJgx8ehBj
2017,42,The Chainsmokers,Paris,72jbDTw1piOOj770jWNeaG
2017,43,Ariana Grande Featuring Nicki Minaj,Side To Side,1pKeFVVUOPjFsOABub0OaV
2017,44,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,5knuzwU65gJK7IF5yJsuaW
2017,45,Portugal. The Man,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK
2017,46,DJ Snake Featuring Justin Bieber,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU
2017,47,Demi Lovato,Sorry Not Sorry,3Du2K5dLzmduCNp6uwuaL0
2017,48,21 Savage,Bank Account,2fQrGHiQOvpL9UgPvtYy6G
2017,49,Justin Timberlake,Can't Stop The Feeling!,6JV2JOEocMgcZxYSZelKcc
2017,50,J Balvin & Willy William Featuring Beyonce,Mi Gente,7COfe3P7KgfwDwIRB8LIDw
2017,51,Imagine Dragons,Thunder,1zB4vmk8tFRmM9UULNzbLB
2017,52,Migos,T-Shirt,7KOlJ92bu51cltsD9KU5I7
2017,53,Yo Gotti Featuring Nicki Minaj,Rake It Up,4knL4iPxPOZjQzTUlELGSY
2017,54,Shawn Mendes,Mercy,0AS63m1wHv9n4VVRizK6Hc
2017,55,Kodak Black,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4
2017,56,Post Malone Featuring 21 Savage,Rockstar,0e7ipj03S05BNilyu5bRzt
2017,57,Brett Young,In Case You Didn't Know,10M2Ex445zw585Ducldzkw
2017,58,twenty one pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr
2017,59,Halsey,Now Or Never,7i2DJ88J7jQ8K7zqFX2fW8
2017,60,Amine,Caroline,5hTpBe8h35rJ67eAWHQsJx
2017,61,Ayo & Teo,Rolex,0pSBuHjILhNEo55xK1zrRt
2017,62,Kendrick Lamar,DNA.,6HZILIRieu8S0iqY8kIKhj
2017,63,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),1lItf5ZXJc1by9SbPeljFd
2017,64,Rae Sremmurd,Swang,6mapJIPnQ23RTAevUoE0DL
2017,65,Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz
2017,66,Kendrick Lamar Featuring Rihanna,Loyalty.,6SwRhMLwNqEi6alNPVG00n
2017,67,Kesha,Praying,0jdny0dhgjUwoIp5GkqEaA
2017,68,Travis Scott,Goosebumps,6gBFPUFcJLzWGx4lenP6h2
2017,69,Maroon 5 Featuring Future,Cold,2NlTOhsAamXOaZciOXbITb
2017,70,D.R.A.M. Featuring Lil Yachty,Broccoli,1fO4ug3jPgYGnkwfcrtyOR
2017,71,Calvin Harris Featuring Frank Ocean & Migos,Slide,6gpcs5eMhJwax4mIfKDYQk
2017,72,Kane Brown Featuring Lauren Alaina,What Ifs,7zVCrzzEJU7u24sbJPXA5W
2017,73,Katy Perry Featuring Skip Marley,Chained To The Rhythm,7qvxFz3JodM0A7xEM7k3YD
2017,74,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,5bcTCxgc7xVfSaMV3RuVke
2017,75,Jon Bellion,All Time Low,1CnPYaKxTVb4LWOtiGOm0m
2017,76,Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1
2017,77,Sam Smith,Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV
2017,78,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
2017,79,Playboi Carti,Magnolia,1e1JKLEDKP7hEQzJfNAgPl
2017,80,SZA Featuring Travis Scott,Love Galore,0q75NwOoFiARAVp4EXU4Bs
2017,81,A Boogie Wit da Hoodie Featuring Kodak Black,Drowning,1f5cbQtDrykjarZVrShaDI
2017,82,Hailee Steinfeld & Grey Featuring Zedd,Starving,4Ce37cRWvM1vIGGynKcs22
2017,83,Gucci Mane Featuring Drake,Both,5tFep7dXGd7vEJ668wTPux
2017,84,P!nk,What About Us,0Qh38w01QRXK6KHIv0e3hb
2017,85,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla,6kex4EBAj0WHXDKZMEJaaF
2017,86,Migos Featuring Gucci Mane,Slippery,6p8NuHm8uCGnn2Dtbtf7zE
2017,87,Harry Styles,Sign Of The Times,5Ohxk2dO5COHF1krpoPigN
2017,88,Adele,Water Under The Bridge,7xfzwPasShmaPL7gB7va3J
2017,89,Miley Cyrus,Malibu,1UZOjK1BwmwWU14Erba9CZ
2017,90,Marian Hill,Down,0ZQfn5nh2TnVE6Q0AT8eXr
2017,91,Cheat Codes Featuring Demi Lovato,No Promises,1louJpMmzEicAn7lzDalPW
2017,92,Shawn Mendes,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd
2017,93,Gucci Mane Featuring Migos,I Get The Bag,1XRgIKC5TPwo7nWGyKqgG0
2017,94,Dustin Lynch,Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z
2017,95,YFN Lucci Featuring PnB Rock,Everyday We Lit,4PzovBqgnSHKd8opsP7IVM
2017,96,Camila Cabello Featuring Young Thug,Havana,1rfofaqEpACxVEHIZBJe6W
2017,97,Maroon 5 Featuring SZA,What Lovers Do,0GxQ1A5L9xnMOytbP6eKBG
2017,98,blackbear,Do Re Mi,3Q3myFA7q4Op95DOpHplaY
2017,99,XXXTENTACION,Look At Me!,7floNISpH8VF4z4459Qo18
2017,100,Keith Urban Featuring Carrie Underwood,The Fighter,4Iw8bM0BCRmrN778ZODnJa
2016,1,Justin Bieber,Love Yourself,50kpGaPAhYJ3sGmk6vplg0
2016,2,Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF
2016,3,Drake Featuring WizKid & Kyla,One Dance,1zi7xx7UVEFkmKfv06H8x0
2016,4,Rihanna Featuring Drake,Work,72TFWvU3wUYdUuxejTTIzt
2016,5,twenty one pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn
2016,6,Desiigner,Panda,5YEOzOojehCqxGQCcQiyR4
2016,7,Adele,Hello,4aebBr4JAihzJQR0CiIZJv
2016,8,The Chainsmokers Featuring Daya,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK
2016,9,Justin Timberlake,Can't Stop The Feeling!,6JV2JOEocMgcZxYSZelKcc
2016,10,The Chainsmokers Featuring Halsey,Closer,7BKLCZ1jbUBVqRi2FVlTVw
2016,11,Sia Featuring Sean Paul,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j
2016,12,Lukas Graham,7 Years,5kqIPrATaCc2LqxVWzQGbk
2016,13,Rihanna,Needed Me,4pAl7FkDMNBsjykPXo91B3
2016,14,Flo Rida,My House,6Knv6wdA0luoMUuuoYi2i1
2016,15,Mike Posner,I Took A Pill In Ibiza,0vbtURX4qv1l7besfwmnD8
2016,16,Fifth Harmony Featuring Ty Dolla $ign,Work From Home,4tCtwWceOPWzenK2HAIJSb
2016,17,Calvin Harris Featuring Rihanna,This Is What You Came For,0azC730Exh71aQlOt9Zj3y
2016,18,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC
2016,19,G-Eazy x Bebe Rexha,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC
2016,20,twenty one pilots,Ride,2Z8WuEywRWYTKe1NybPQEW
2016,21,twenty one pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr
2016,22,Zayn,Pillowtalk,0PDUDa38GO8lMxLCRc4lL1
2016,23,Shawn Mendes,Stitches,3zkWCteF82vJwv0hRLba76
2016,24,Drake,Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7
2016,25,Major Lazer Featuring Justin Bieber & MO,Cold Water,2qzISfdoGJa0AHXqgyJhw7
2016,26,Adele,Send My Love (To Your New Lover),3KZcrZ36LW9RnChK1iIkth
2016,27,The Chainsmokers Featuring Rozes,Roses,3vv9phIu6Y1vX3jcqaGz5Z
2016,28,Shawn Mendes,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd
2016,29,Drake Featuring Rihanna,Too Good,3BtuIIrQlkujKPuWF2B85z
2016,30,Future Featuring The Weeknd,Low Life,7EiZI6JVHllARrX9PUvAdX
2016,31,Justin Bieber,What Do You Mean?,4B0JvthVoAAuygILe3n4Bs
2016,32,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB
2016,33,P!nk,Just Like Fire,7K5dzhGda2vRTaAWYI3hrb
2016,34,D.R.A.M. Featuring Lil Yachty,Broccoli,1fO4ug3jPgYGnkwfcrtyOR
2016,35,Bryson Tiller,Don't,3pXF1nA74528Edde4of9CC
2016,36,Ariana Grande,Dangerous Woman,2meEiZKWkiN28gITzFwQo5
2016,37,Drake & Future,Jumpman,27GmP9AWRs744SzKcpJsTZ
2016,38,gnash Featuring Olivia O'Brien,I Hate U I Love U,7vRriwrloYVaoAe3a9wJHe
2016,39,Alessia Cara,Here,664gdARxaClFsoF5SXKOws
2016,40,Selena Gomez,Same Old Love,6ZANrVuAMp2rpjhfbOuJly
2016,41,Drake,Controlla,3O8NlPh2LByMU9lSRSHedm
2016,42,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,2YlZnw2ikdb837oKMKjBkW
2016,43,Charlie Puth,One Call Away,37R0bQOQj5a7DOqh1TGzvB
2016,44,James Bay,Let It Go,3nnG7AM9QopHVPEuLX3Khk
2016,45,Meghan Trainor,No,7fCNUWi6uflDTQ08srxMZk
2016,46,Zara Larsson & MNEK,Never Forget You,6hmhG1b4LEyNuashVvuIAo
2016,47,DJ Snake Featuring Justin Bieber,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU
2016,48,Kent Jones,Don't Mind,27PmvZoffODNFW2p7ehZTQ
2016,49,Florida Georgia Line,H.O.L.Y.,0BCy325UZyR9z0t0uxwn2N
2016,50,Charlie Puth Featuring Selena Gomez,We Don't Talk Anymore,06KyNuuMOX1ROXRhj787tj
2016,51,Ariana Grande,Into You,2meEiZKWkiN28gITzFwQo5
2016,52,Kiiara,Gold,6ZSO7kPn8IMJFymyticbJO
2016,53,Bryson Tiller,Exchange,43PuMrRfbyyuz4QpZ3oAwN
2016,54,Fetty Wap Featuring Remy Boyz,679,5NQbUaeTEOGdD6hHcre0dZ
2016,55,Jeremih,Oui,0PJIbOdMs3bd5AT8liULMQ
2016,56,Selena Gomez,Hands To Myself,3CJvmtWw2bJsudbAC5uCQk
2016,57,Kevin Gates,2 Phones,0wdKiSBUT7aZkXUIdJWcwC
2016,58,The Weeknd Featuring Daft Punk,Starboy,7MXVkk9YMctZqd1Srtv4MB
2016,59,DJ Khaled Featuring Drake,For Free,20bLudc6r1NChyZcrjRd7T
2016,60,Flume Featuring Kai,Never Be Like You,15O20RQyWJgKrkHID9ynT9
2016,61,The Weeknd,In The Night,25KybV9BOUlvcnv7nN3Pyo
2016,62,Meghan Trainor,Me Too,3KwwE4sgCzMaKWq6QBebmX
2016,63,Elle King,Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH
2016,64,Thomas Rhett,Die A Happy Man,6uTb5oNK9RkTjxmh73W7MG
2016,65,Post Malone,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w
2016,66,Nick Jonas Featuring Tove Lo,Close,3lSDIJ2abCrOdDJ6pshUap
2016,67,X Ambassadors,Unsteady,7lGKEWMXVWWTt3X71Bv44I
2016,68,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Sucker For Pain,4dASQiO1Eoo3RJvt74FtXB
2016,69,Yo Gotti Featuring Nicki Minaj,Down In The DM,1LxKKYsJNPeBdOwdudsJzv
2016,70,Tory Lanez,Luv,16Ah4QqH4mgYVXqfC4mdSd
2016,71,Beyonce,Sorry,63lRlLtXtjRwX5BJd6j5fC
2016,72,The Weeknd,Can't Feel My Face,22VdIZQfgXJea34mQxlt81
2016,73,Coldplay,Hymn For The Weekend,3RiPr603aXAoi4GHyXx0uy
2016,74,Tory Lanez,Say It,2Gyc6e2cLxA5hoX1NOvYnU
2016,75,Travis Scott,Antidote,1wHZx0LgzFHyeIZkUydNXq
2016,76,Ruth B,Lost Boy,4h0zU3O9R5xzuTmNO7dNDU
2016,77,Ariana Grande Featuring Nicki Minaj,Side To Side,1pKeFVVUOPjFsOABub0OaV
2016,78,Daya,"Sit Still, Look Pretty",0Mlm5SrNK34Jqn8Rk1Gs3g
2016,79,Taylor Swift,Wildest Dreams,3fVnlF4pGqWI9flVENcT28
2016,80,DJ Snake Featuring Bipolar Sunshine,Middle,0g5EKLgdKvNlln7TNqBByK
2016,81,Ellie Goulding,On My Mind,5a7NdkF09AfD0H607eiOkX
2016,82,Drake Featuring The Throne,Pop Style,5mPSyjLatqB00IkPqRlbTE
2016,83,Adele,When We Were Young,0cj2joJcY6b4XSRfj2eZOl
2016,84,Daya,Hide Away,6QzJcnl5cvlDHVrx9mhE99
2016,85,Major Lazer & DJ Snake Featuring MO,Lean On,1qE47wUKG2juJwPoLqg4C9
2016,86,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer,7M9t7BCy51ITF8IMyiemzk
2016,88,Silento,Watch Me,5RIVoVdkDLEygELLCniZFr
2016,89,Chris Brown,Back To Sleep,4wM4c5ly3GR4YYgWSePlSG
2016,90,Usher Featuring Young Thug,No Limit,1CDBn2Lm7E63XKQDsdCq6O
2016,91,O.T. Genasis Featuring Young Dolph,Cut It,376KnY4TrgBITxjlnbnmIy
2016,92,Kevin Gates,Really Really,10I3CmmwT0BkOVhduDy53o
2016,93,Fifth Harmony Featuring Fetty Wap,All In My Head (Flex),7nD9nN3jord9wWcfW3Gkcm
2016,94,Hailee Steinfeld & Grey Featuring Zedd,Starving,4Ce37cRWvM1vIGGynKcs22
2016,95,Coldplay,Adventure Of A Lifetime,69uxyAqqPIsUyTO8txoP2M
2016,96,Tim McGraw,Humble And Kind,4Pn0JlCUusD2QHjADuOzuV
2016,97,Future,Wicked,6BbINUfGabVyiNFJpQXn3x
2016,98,Desiigner,Tiimmy Turner,3NJG6vMH1ZsectZkocMEm0
2016,99,Wiz Khalifa Featuring Charlie Puth,See You Again,2JzZzZUQj3Qff7wapcbKjc
2016,100,One Direction,Perfect,3NLnwwAQbbFKcEcV8hDItk
2015,1,Mark Ronson Featuring Bruno Mars,Uptown Funk!,32OlwWuMpZ6b0aN2RZOeMS
2015,2,Ed Sheeran,Thinking Out Loud,34gCuhDGsG4bRPIf9bb02f
2015,3,Wiz Khalifa Featuring Charlie Puth,See You Again,2JzZzZUQj3Qff7wapcbKjc
2015,4,Fetty Wap,Trap Queen,2d8JP84HNLKhmd6IYOoupQ
2015,5,Maroon 5,Sugar,5d6Mjuu2uCGRPYpFjGpCX5
2015,6,WALK THE MOON,Shut Up And Dance,4kbj5MwxO1bq9wjT5g9HaA
2015,7,Taylor Swift,Blank Space,1u8c2t2Cy7UBoG4ArRcF5g
2015,8,Silento,Watch Me,5RIVoVdkDLEygELLCniZFr
2015,9,The Weeknd,Earned It (Fifty Shades Of Grey),2PIvq1pGrUjY007X5y1UpM
