year,rank,artist,title,id
1959,6,Bobby Darin,Dream Lover,6L92NRejX7zWuC3PPQJDIL
1959,7,Browns,The Three Bells,24SbmQo3XQkNLpSBYda4DA
1959,8,Fleetwoods,Come Softly To Me,6bnFjTW3EnMG4BwreDnSHK
1959,9,Wilbert Harrison,Kansas City,4GvyP7CnBJEV2t7L7vOkjw
1959,10,Fleetwoods,Mr. Blue,6bnFjTW3EnMG4BwreDnSHK
1959,11,Santo and Johnny,Sleep Walk,0yK8sWD6cfrc7pGfaPIcZH
1959,12,Paul Anka,Put Your Head On My Shoulder,2DpJ9T2RVRanZcYFHKOAfA
1959,13,Lloyd Price,Stagger Lee,4MUGG9mgDUP8dlaS3AAeg0
1959,14,Ritchie Valens,Donna,5jjrPdeClupQkNkGR1sth7
1959,15,Dodie Stevens,Pink Shoelaces,5jOyoU6kgMGoELNJ2x93nz
1959,16,Platters,Smoke Gets In Your Eyes,2vSxjnyrWrtxyfzO47EX6q
1959,17,Coasters,Charlie Brown,6Q0aBakbTsjQO6iGdxmXlx
1959,18,Martin Denny,Quiet Village,3ZI49HJE66dhI3EvYHDqSz
1959,19,Carl Dobkins Jr.,My Heart Is An Open Book,0BWPSyMuy1PqWsDsnTiKSh
1959,20,Everly Brothers,('Til) I Kissed You,2erTdgDOZmjJNaNhjhWXhJ
1959,21,Phil Phillips and The Twilights,Sea Of Love,7q4JS8fcVlAVnkryc5aBWJ
1959,22,"Dave ""Baby"" Cortez",The Happy Organ,4OOydvuPBmfNFfTbMMvKRa
1959,23,Lloyd Price,I'm Gonna Get Married,1jKcwPfDloLOMxC1wMV0ux
1959,24,Impalas,Sorry (I Ran All The Way Home),6LHCwuY2YSQSS4qb3gooVg
1959,25,Dion and The Belmonts,A Teenager In Love,0QGwOFQChzflLAmPq5NwKo
1959,26,Crests,16 Candles,3Timk4Wy8wnJDCfq6O7YDW
1959,27,Brook Benton,It's Just A Matter Of Time,0YsKaqgFYvAKl0Ukx83pLK
1959,28,Connie Francis,Lipstick On Your Collar,6psYpUSDyjlkSzFtgcGURp
1959,29,Drifters,There Goes My Baby,2s4B4fUlVIkE4ELgoupjXL
1959,30,Elvis Presley,A Big Hunk O' Love,6PUsG2iMvCjnPFLjydO1RR
1959,31,Johnny and The Hurricanes,Red River Rock,4DpYp67iXLHR1r7I8s2XwZ
1959,32,Stonewall Jackson,Waterloo,3YXPyakTFaoVS2ffimogLR
1959,33,Sammy Turner,Lavender Blue (Dilly Dilly),0YARD4OwVGKKzfTrUXlxYr
1959,34,Elvis Presley,(Now And Then There's) A Fool Such As I,53Wf6uVFYa1Ef1pltkA54Q
1959,35,Virtues,Guitar Boogie Shuffle,6CIHxvT7MnSGsJLCoihLtV
1959,36,Sandy Nelson,Teen Beat,2UbUp7nSoua1BTw4zBAqGJ
1959,37,Edward Burns and Connie Stevens,Kookie Kookie (Lend Me Your Comb),6EOJlaHhyHcvn9IWqvP1BR
1959,38,Thomas Wayne,Tragedy,1tk65cIQ5EFk5vW8z5RWgt
1959,39,Connie Francis,My Happiness,50EXZCtLwYyFxiGV8v7SuS
1959,40,Freddie Cannon,Talahassee Lassie,6BSaz4NeYHIlGGF2EXByn1
1959,41,Fabian,Tiger,2PXn2xjxfGZNaznAzOOIJS
1959,42,Ricky Nelson,Never Be Anyone Else But You,6tKz5rRgvzJvM3Xdpj8e5X
1959,43,Della Reese,Don't You Know,3yIBU17cLkuB8tKMymOLvX
1959,44,Elvis Presley,I Need Your Love Tonight,7k5bDSJ8i6qFmPTeY6bYeI
1959,45,Dinah Washington,What A Diff'rence A Day Makes,3SLTIkYWxhgr941xs9hmPK
1959,46,Bill Parsons,The All American Boy,7j0otZgzUI7o132BM3oD4q
1959,47,Jerry Wallace,Primrose Lane,4bFHIZcJH8hq1JpYyA2hLw
1959,48,David Seville and The Chipmunks,Alvin's Harmonica,4aqEPeDRi8EXbOxFwIoaJ8
1959,49,Andy Williams,Lonely Street,0XAH0YpDUNMBT2iwTFm2dU
1959,50,Ray Charles,What'd I Say,26QUnwFdXbamUPr8Rk0f4Y
1959,51,Sarah Vaughan,Broken-hearted Melody,5X4lsUAYrT5m0IyL6Xm8T5
1959,52,Franck Pourcel,Only You,468m6fiwMdiu3KdG0ItcXO
1959,53,Billy Grammer,Gotta Travel On,4nGqQNxZ4SCLpfrkWJQhPO
1959,54,Coasters,Poison Ivy,4O635Gtu3wD6csl61nb5LS
1959,55,Fabian,Turn Me Loose,0YqbYRqmce8NQLouNiJ7FL
1959,56,Jackie Wilson,Lonely Teardrops,4xPNaHofsEWeDnD63eIUXp
1959,57,Andy Williams,Hawaiian Wedding Song,7MFWjE68FCWOdxXPmHpF8j
1959,58,Duane Eddy,Forty Miles Of Bad Road,7vvIRamaiahhhXnFzA6wbB
1959,59,Frankie Avalon,Just Ask Your Heart,0gBzBlSU2ijcVmq74pLxbP
1959,60,Travis and Bob,Tell Him No,182r59WbLbfjgp9kYSp6yP
1959,61,Connie Francis,Frankie,7MVis6mLRdMsYTbyxXhy0Q
1959,62,Bell Notes,I've Had It,5C27upw9OpFX0Kw8dn6fv5
1959,63,Lavern Baker,I Cried A Tear,28dTB69zJBpBIiDH32Jp1M
1959,64,Platters,Enchanted,0gHSwPpnHuLn66mtN3wnd4
1959,65,Skyliners,Since I Don't Have You,1vkbmoEPyp1MxrfWvmV5KD
1959,66,Ray Anthony,Peter Gunn Theme,1DeMOqqJ5lFegnaWTWFCQG
