acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,rank,genre
0.535,0.752,197437,0.505,1wjzFQodRWrPcQ0AnYnvQ9,2.55e-06,9,0.10400000000000001,-7.621,1,0.253,91.97,4,0.419,88,2018,35,dance pop
0.0169,0.596,203418,0.8540000000000001,2iUXsYOEPhVqEBwsqP70rE,0.0,7,0.124,-5.114,0,0.46299999999999997,120.274,4,0.152,87,2018,36,boy band
0.0362,0.672,201240,0.655,6Qn5zhYkTa37e91HC1D7lb,0.0,10,0.11699999999999999,-5.021,0,0.0311,134.945,4,0.556,84,2018,37,modern rock
0.149,0.88,172800,0.428,7sO5G9EABYOXQKNPNiE9NR,5.07e-05,9,0.114,-8.28,1,0.20600000000000002,100.007,4,0.33299999999999996,86,2018,38,atl hip hop
0.0689,0.556,223347,0.5379999999999999,75ZvA4QfFiZvzhj2xkaWAh,0.0,8,0.196,-5.4079999999999995,0,0.0382,143.95,4,0.29100000000000004,87,2018,39,pop
0.0762,0.735,211440,0.677,77UjLW8j5UAGAGVGhR5oUK,2.17e-05,2,0.111,-4.979,1,0.09300000000000001,100.584,4,0.188,80,2018,40,canadian contemporary r&b
0.0945,0.601,207905,0.7240000000000001,4hQ6UGyWQIGJmHSo0J88JW,1.68e-06,6,0.12,-4.856,1,0.0486,102.061,4,0.508,84,2018,41,dance pop
0.00513,0.8340000000000001,312820,0.73,2xLMifQCjDGFmkHkpNLD9h,0.0,8,0.124,-3.714,1,0.222,155.00799999999995,4,0.446,93,2018,42,pop
0.0739,0.909,276147,0.628,6n4U3TlzUGhdSFbUUhTvLP,0.0,2,0.10800000000000001,-5.456,1,0.201,145.905,4,0.406,83,2018,43,atl hip hop
0.239,0.9359999999999999,124056,0.523,43ZyHQITOjhciSUUNPVRHc,0.0,5,0.11699999999999999,-6.71,1,0.0597,119.889,4,0.6990000000000001,78,2018,44,emo rap
0.0534,0.589,268867,0.731,5k38wzpLb15YgncyWdTZE4,0.0,2,0.308,-6.343,1,0.0868,87.90799999999999,4,0.191,81,2018,45,hip hop
0.0573,0.622,211360,0.7120000000000001,2QZ7WLBE8h2y1Y5Fb8RYbH,0.0,5,0.13,-7.3210000000000015,1,0.066,140.025,4,0.48700000000000004,86,2018,46,canadian pop
0.0605,0.698,232187,0.633,3GCdLUSnKSMJhs4Tj6CV3s,0.000194,8,0.0926,-4.9460000000000015,1,0.0597,96.92399999999999,4,0.552,83,2018,47,conscious hip hop
0.00299,0.815,190288,0.816,2UVbBKQOdFAekPTRsnkzcf,0.0,2,0.159,-5.474,1,0.26899999999999996,181.967,4,0.498,80,2018,48,atl hip hop
0.652,0.698,201000,0.375,1mXVgsBdtIVeCLJnSnmtdV,0.0,5,0.17300000000000001,-8.279,1,0.0491,91.92,4,0.534,85,2018,49,pop
0.264,0.8,213400,0.585,6PGoSes0D9eUDeeAafB2As,0.0,10,0.153,-7.343,1,0.0924,126.05799999999999,4,0.779,81,2018,50,conscious hip hop
0.11699999999999999,0.8540000000000001,225773,0.46299999999999997,0b9oOr2ZgvyQu88wzixux9,0.0,5,0.354,-6.159,1,0.13699999999999998,120.024,4,0.5489999999999999,81,2018,51,atl hip hop
0.0164,0.912,238614,0.41200000000000003,0TlLq3lA83rQOYtrqBqSct,0.013000000000000001,7,0.10400000000000001,-8.074,1,0.124,154.983,4,0.42200000000000004,88,2018,52,canadian hip hop
