year,rank,artist,id,genres,popularity,followers
2016,72,Britney Spears,26dSoYclwsYLMAKD3tpOr4,"['dance pop', 'europop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",81,5931624
2016,73,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"['emo', 'modern rock', 'pop punk']",88,6608182
2016,74,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",78,1643943
2016,75,Elle King,3bhu7P5PfngueRHiB9hjcx,['pop rock'],65,307766
2016,76,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['dance pop', 'pop']",91,7262682
2016,77,P!nk,1KCSPY1glIKqW2TotWuXOR,"['dance pop', 'pop', 'post-teen pop']",86,6107933
2016,78,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,"['contemporary country', 'country', 'country road', 'modern country rock']",70,1059207
2016,79,Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],89,17457995
2016,80,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,"['hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music']",89,2572656
2016,81,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,"['album rock', 'art rock', 'dance rock', 'glam rock', 'new wave', 'permanent wave', 'protopunk', 'rock']",82,3839064
2016,82,Kiiara,4u5smJBskI6Adzv08PuiUP,"['dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']",72,547968
2016,83,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,"['contemporary country', 'country', 'country road']",76,2656923
2016,84,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,"['contemporary country', 'country', 'country road', 'modern country rock']",75,1957563
2016,85,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,"['contemporary country', 'country', 'country road', 'modern country rock']",74,1744735
2016,86,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",81,4752999
2016,87,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",79,2850262
2016,88,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",79,6256797
2016,89,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",75,2132958
2016,90,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",92,42734350
2016,91,Katy Perry,6jJ0s89eD6GaHleKKya26X,"['dance pop', 'pop', 'post-teen pop']",85,12673193
2016,92,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'pop', 'post-teen pop']",88,3436790
2016,93,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",76,4258384
2016,94,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"['philly rap', 'rap', 'trap music']",88,6137014
2016,95,Logic,4xRYI6VqpkE3UwrDrAZL8L,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",87,3528533
2016,96,Young Thug,50co4Is1HCEo8bhOyUWKpn,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,3963247
2016,97,gnash,3iri9nBFs9e4wN7PLIetAw,"['dance pop', 'pop', 'post-teen pop']",76,1139586
2016,98,Chance The Rapper,1anyVhU62p31KFi8MEzkbf,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop', 'pop rap', 'rap']",82,3958100
2016,99,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,"['dance pop', 'pop', 'post-teen pop', 'r&b']",86,9235133
2016,100,D.R.A.M.,1Wry0EFTpNuY88F1Mt3OYY,"['hip hop', 'r&b', 'soul', 'trap music']",1,708
2015,1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"['dance pop', 'pop', 'post-teen pop']",89,19147441
