acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.153,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.841,212500,0.798,4w8niZpiMy6qz1mntFA5uM,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,audio_features,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.591
0.0441,https://api.spotify.com/v1/audio-analysis/2ktoFujjJtantyMoVdBJlX,0.724,256418,0.791,2ktoFujjJtantyMoVdBJlX,6.55e-06,7,0.239,-5.411,1,0.169,176.011,4,https://api.spotify.com/v1/tracks/2ktoFujjJtantyMoVdBJlX,audio_features,spotify:track:2ktoFujjJtantyMoVdBJlX,0.856
0.483,https://api.spotify.com/v1/audio-analysis/675w3ACw5xZR3ODhUJlEVN,0.704,195044,0.706,675w3ACw5xZR3ODhUJlEVN,0.0,11,0.0965,-5.233,0,0.111,92.965,4,https://api.spotify.com/v1/tracks/675w3ACw5xZR3ODhUJlEVN,audio_features,spotify:track:675w3ACw5xZR3ODhUJlEVN,0.856
0.216,https://api.spotify.com/v1/audio-analysis/7zAGi1cps7yYhAajGXlFTH,0.84,221214,0.596,7zAGi1cps7yYhAajGXlFTH,0.0,6,0.0897,-4.319,0,0.0918,139.937,4,https://api.spotify.com/v1/tracks/7zAGi1cps7yYhAajGXlFTH,audio_features,spotify:track:7zAGi1cps7yYhAajGXlFTH,0.71
0.0874,https://api.spotify.com/v1/audio-analysis/4OocfNloIRk77ncIKBdYwb,0.615,194092,0.471,4OocfNloIRk77ncIKBdYwb,0.0,8,0.101,-7.345,0,0.175,79.983,4,https://api.spotify.com/v1/tracks/4OocfNloIRk77ncIKBdYwb,audio_features,spotify:track:4OocfNloIRk77ncIKBdYwb,0.354
0.752,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,0.888,193143,0.395,4SSnFejRGlZikf02HLewEF,0.14,8,0.106,-14.645,1,0.324,120.058,4,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,audio_features,spotify:track:4SSnFejRGlZikf02HLewEF,0.162
0.314,https://api.spotify.com/v1/audio-analysis/4pUCKHjJ4Ijewc37rRrvHn,0.755,189052,0.858,4pUCKHjJ4Ijewc37rRrvHn,0.00318,2,0.301,-4.119,1,0.198,132.082,4,https://api.spotify.com/v1/tracks/4pUCKHjJ4Ijewc37rRrvHn,audio_features,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,0.57
0.504,https://api.spotify.com/v1/audio-analysis/4AKWHLChPxYdXAB2cHmZB7,0.758,208000,0.699,4AKWHLChPxYdXAB2cHmZB7,0.0,6,0.0922,-5.636,1,0.171,90.013,4,https://api.spotify.com/v1/tracks/4AKWHLChPxYdXAB2cHmZB7,audio_features,spotify:track:4AKWHLChPxYdXAB2cHmZB7,0.594
0.287,https://api.spotify.com/v1/audio-analysis/3jOn1ZdPldABfKQY4JBhov,0.803,214600,0.749,3jOn1ZdPldABfKQY4JBhov,0.0,4,0.369,-4.358,1,0.143,93.005,4,https://api.spotify.com/v1/tracks/3jOn1ZdPldABfKQY4JBhov,audio_features,spotify:track:3jOn1ZdPldABfKQY4JBhov,0.67
0.657,https://api.spotify.com/v1/audio-analysis/3T5QSIgoaPIh07SwixRDp7,0.618,273198,0.743,3T5QSIgoaPIh07SwixRDp7,5.95e-06,6,0.143,-2.576,0,0.141,180.021,4,https://api.spotify.com/v1/tracks/3T5QSIgoaPIh07SwixRDp7,audio_features,spotify:track:3T5QSIgoaPIh07SwixRDp7,0.589
