acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.143,https://api.spotify.com/v1/audio-analysis/5vBtQYXPl3doQwnlFHwknb,0.832,155276,0.535,5vBtQYXPl3doQwnlFHwknb,0,9,0.246,-10.714,1,0.194,0.43755,120.008,4,https://api.spotify.com/v1/tracks/5vBtQYXPl3doQwnlFHwknb,audio_features,spotify:track:5vBtQYXPl3doQwnlFHwknb,0.556
0.0709,https://api.spotify.com/v1/audio-analysis/2yVGgYMwdNIcEdEiUzFUYc,0.778,287907,0.62,2yVGgYMwdNIcEdEiUzFUYc,0,11,0.067,-6.937,0,0.256,0.5378875,136.062,4,https://api.spotify.com/v1/tracks/2yVGgYMwdNIcEdEiUzFUYc,audio_features,spotify:track:2yVGgYMwdNIcEdEiUzFUYc,0.361
0.016,https://api.spotify.com/v1/audio-analysis/5itOtNx0WxtJmi1TQ3RuRd,0.807,229184,0.887,5itOtNx0WxtJmi1TQ3RuRd,0.000503,1,0.0811,-4.311,0,0.0361,0.45009375,122.015,4,https://api.spotify.com/v1/tracks/5itOtNx0WxtJmi1TQ3RuRd,audio_features,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,0.606
0.229,https://api.spotify.com/v1/audio-analysis/3Kg4SgYX9XEte6S4yn6ZyG,0.794,221770,0.769,3Kg4SgYX9XEte6S4yn6ZyG,0,4,0.407,-6.771,0,0.26,0.49989375,129.983,4,https://api.spotify.com/v1/tracks/3Kg4SgYX9XEte6S4yn6ZyG,audio_features,spotify:track:3Kg4SgYX9XEte6S4yn6ZyG,0.583
0.594,https://api.spotify.com/v1/audio-analysis/5b9RQx9CLZRZcO1W8PvmcB,0.748,197886,0.441,5b9RQx9CLZRZcO1W8PvmcB,0,7,0.109,-10.026,1,0.164,0.27541875,94.067,4,https://api.spotify.com/v1/tracks/5b9RQx9CLZRZcO1W8PvmcB,audio_features,spotify:track:5b9RQx9CLZRZcO1W8PvmcB,0.418
0.0628,https://api.spotify.com/v1/audio-analysis/6TfeSFGbqxGjIKuKLQOsKC,0.771,236013,0.703,6TfeSFGbqxGjIKuKLQOsKC,0,8,0.0847,-6.299,0,0.0423,0.37500625,110.001,4,https://api.spotify.com/v1/tracks/6TfeSFGbqxGjIKuKLQOsKC,audio_features,spotify:track:6TfeSFGbqxGjIKuKLQOsKC,0.954
0.316,https://api.spotify.com/v1/audio-analysis/6IRdLKIyS4p7XNiP8r6rsx,0.741,168840,0.447,6IRdLKIyS4p7XNiP8r6rsx,0.121,8,0.187,-9.015,0,0.388,0.843625,184.98,4,https://api.spotify.com/v1/tracks/6IRdLKIyS4p7XNiP8r6rsx,audio_features,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,0.551
0.0131,https://api.spotify.com/v1/audio-analysis/77vLpSAMNzeYL4EBeZxWqI,0.573,203253,0.833,77vLpSAMNzeYL4EBeZxWqI,0.000126,6,0.791,-8.18,0,0.0469,0.73735625,167.977,4,https://api.spotify.com/v1/tracks/77vLpSAMNzeYL4EBeZxWqI,audio_features,spotify:track:77vLpSAMNzeYL4EBeZxWqI,0.451
0.0161,https://api.spotify.com/v1/audio-analysis/1rCcsYnmqbMYdkG7kS9GC5,0.574,214942,0.728,1rCcsYnmqbMYdkG7kS9GC5,1.42E-06,1,0.0851,-4.777,1,0.062,0.46904375,125.047,4,https://api.spotify.com/v1/tracks/1rCcsYnmqbMYdkG7kS9GC5,audio_features,spotify:track:1rCcsYnmqbMYdkG7kS9GC5,0.266
0.0421,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,0.726,190440,0.554,4kV4N9D1iKVxx1KLvtTpjS,0,5,0.106,-5.29,0,0.0917,0.74999375,169.999,4,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,audio_features,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,0.335
