acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.53,https://api.spotify.com/v1/audio-analysis/0W3fsnIsf0m1n7JXOvYbsc,0.604,244000,0.625,0W3fsnIsf0m1n7JXOvYbsc,0,11,0.124,-6.647,1,0.0568,0.44825,121.72,4,https://api.spotify.com/v1/tracks/0W3fsnIsf0m1n7JXOvYbsc,audio_features,spotify:track:0W3fsnIsf0m1n7JXOvYbsc,0.22,
0.0722,https://api.spotify.com/v1/audio-analysis/2RSHsoi04658QL5xgQVov3,0.383,260773,0.637,2RSHsoi04658QL5xgQVov3,0,3,0.368,-6.993,1,0.0703,0.79945625,177.913,4,https://api.spotify.com/v1/tracks/2RSHsoi04658QL5xgQVov3,audio_features,spotify:track:2RSHsoi04658QL5xgQVov3,0.0827,
0.343,https://api.spotify.com/v1/audio-analysis/6YrDRkcDktxgsPcH8x77xm,0.711,181301,0.567,6YrDRkcDktxgsPcH8x77xm,0,5,0.161,-7,1,0.0798,0.4374375,119.99,4,https://api.spotify.com/v1/tracks/6YrDRkcDktxgsPcH8x77xm,audio_features,spotify:track:6YrDRkcDktxgsPcH8x77xm,0.718,
0.571,https://api.spotify.com/v1/audio-analysis/2p0qsfmL5oCtpZ72tuMwHN,0.411,221425,0.448,2p0qsfmL5oCtpZ72tuMwHN,0,11,0.104,-7.921,1,0.0408,0.63903125,152.245,4,https://api.spotify.com/v1/tracks/2p0qsfmL5oCtpZ72tuMwHN,audio_features,spotify:track:2p0qsfmL5oCtpZ72tuMwHN,0.333,
0.0579,https://api.spotify.com/v1/audio-analysis/0swoHiwTazywpoqiKDUtGQ,0.765,191639,0.701,0swoHiwTazywpoqiKDUtGQ,0,11,0.334,-4.089,0,0.058,0.3374875,103.998,4,https://api.spotify.com/v1/tracks/0swoHiwTazywpoqiKDUtGQ,audio_features,spotify:track:0swoHiwTazywpoqiKDUtGQ,0.758,
0.0983,https://api.spotify.com/v1/audio-analysis/7iTTQvztpfrDneVSX9IGBD,0.78,171375,0.521,7iTTQvztpfrDneVSX9IGBD,0.000125,0,0.0967,-5.094,1,0.123,0.68804375,160.087,4,https://api.spotify.com/v1/tracks/7iTTQvztpfrDneVSX9IGBD,audio_features,spotify:track:7iTTQvztpfrDneVSX9IGBD,0.643,
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,0.5120375,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578,
0.119,https://api.spotify.com/v1/audio-analysis/7GOFNyZcCTwm1SsC5jOFpA,0.532,177836,0.634,7GOFNyZcCTwm1SsC5jOFpA,0,0,0.33,-6.981,0,0.0559,0.3344375,103.51,4,https://api.spotify.com/v1/tracks/7GOFNyZcCTwm1SsC5jOFpA,audio_features,spotify:track:7GOFNyZcCTwm1SsC5jOFpA,0.633,
0.487,https://api.spotify.com/v1/audio-analysis/5wNEN0XsH29BPv7P77Ds6b,0.331,204000,0.483,5wNEN0XsH29BPv7P77Ds6b,0,2,0.0831,-7.668,1,0.0757,0.12165625,69.465,4,https://api.spotify.com/v1/tracks/5wNEN0XsH29BPv7P77Ds6b,audio_features,spotify:track:5wNEN0XsH29BPv7P77Ds6b,0.199,
0.3,https://api.spotify.com/v1/audio-analysis/55t2S1tpx1Bj3C5bIEn2BF,0.518,215156,0.822,55t2S1tpx1Bj3C5bIEn2BF,0,1,0.067,-4.546,1,0.0645,0.48620625,127.793,4,https://api.spotify.com/v1/tracks/55t2S1tpx1Bj3C5bIEn2BF,audio_features,spotify:track:55t2S1tpx1Bj3C5bIEn2BF,0.314,
0.252,https://api.spotify.com/v1/audio-analysis/31UjYv5vLsDkzchJOtUMtW,0.837,184436,0.791,31UjYv5vLsDkzchJOtUMtW,1.14E-06,4,0.188,-3.157,0,0.0773,0.262375,91.98,4,https://api.spotify.com/v1/tracks/31UjYv5vLsDkzchJOtUMtW,audio_features,spotify:track:31UjYv5vLsDkzchJOtUMtW,0.618,
0.279,https://api.spotify.com/v1/audio-analysis/0NmyHZZMfVBiUSOfDmz9Bf,0.612,222101,0.687,0NmyHZZMfVBiUSOfDmz9Bf,0,0,0.209,-7.093,1,0.182,0.31211875,99.939,4,https://api.spotify.com/v1/tracks/0NmyHZZMfVBiUSOfDmz9Bf,audio_features,spotify:track:0NmyHZZMfVBiUSOfDmz9Bf,0.305,
0.876,https://api.spotify.com/v1/audio-analysis/4zI2FjKRrdP6LxTO8PYh69,0.539,250000,0.265,4zI2FjKRrdP6LxTO8PYh69,2.01E-06,4,0.369,-14.813,1,0.172,0.6234875,149.758,3,https://api.spotify.com/v1/tracks/4zI2FjKRrdP6LxTO8PYh69,audio_features,spotify:track:4zI2FjKRrdP6LxTO8PYh69,0.376,
0.244,https://api.spotify.com/v1/audio-analysis/42LrSpEHmXHfjEH8NeiQQi,0.533,227467,0.669,42LrSpEHmXHfjEH8NeiQQi,0,2,0.0965,-4.875,1,0.0465,0.59825625,145.721,4,https://api.spotify.com/v1/tracks/42LrSpEHmXHfjEH8NeiQQi,audio_features,spotify:track:42LrSpEHmXHfjEH8NeiQQi,0.141,
