acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.0564,0.807,311726,0.633,7rwX0O3RlxqqIjQM8evm5E,0,10,0.107,-6.016,0,0.0929,138.038,4,0.325
0.0861,0.751,169567,0.642,2wVDWtLKXunswWecARNILj,0,3,0.0953,-5.165,0,0.087,95.045,4,0.388
0.287,0.743,197968,0.73,4uP3pUP18ennmz0tb3GphR,8.10E-05,10,0.0778,-4.314,0,0.125,179.972,4,0.15
0.446,0.778,213913,0.731,4T4CZ3Q4z3GG7lU720YYhM,0,5,0.251,-4.325,1,0.0399,91.991,4,0.854
0.0983,0.78,171375,0.521,7iTTQvztpfrDneVSX9IGBD,0.000125,0,0.0967,-5.094,1,0.123,160.087,4,0.643
0.00812,0.789,167311,0.767,3ibRxEv4KkcU9e259eyNJA,0.000348,9,0.101,-4.612,0,0.0715,99.957,4,0.637
0.0744,0.684,208163,0.823,7nKBxz47S9SD79N086fuhn,0,9,0.111,-3.297,0,0.0773,91.048,4,0.647
0.0635,0.755,183587,0.751,3GPI7hYiqD6enLRobhkBm8,0,8,0.0812,-4.034,1,0.0748,102.002,4,0.491
0.383,0.73,304859,0.648,7kuRvjpeUcn6qNV9IBXC2C,0.000112,1,0.103,-6.405,0,0.378,187.991,4,0.675
0.153,0.841,212500,0.798,4w8niZpiMy6qz1mntFA5uM,3.33E-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591
0.0204,0.849,201122,0.724,2RVrdr062uLFxXwIxwdXPH,5.98E-06,5,0.235,-4.139,1,0.0665,98.005,4,0.63
0.542,0.903,417920,0.675,3V8UKqhEK5zBkBb6d6ub8i,1.28E-05,11,0.0595,-3.445,0,0.214,96.507,4,0.442
0.0446,0.877,231848,0.777,059bcIhyc2SBwm6sw2AZzd,3.46E-05,1,0.0863,-4.246,1,0.117,102.02,4,0.706
0.237,0.686,224483,0.842,4EjUFjzi4ErWjklOA3Aslu,0,0,0.0683,-4.423,1,0.1,115.944,4,0.519
0.16,0.512,367680,0.452,7nD2JPaxIKUdxd2UWgnaGL,0,5,0.0672,-7.217,0,0.124,80.04,4,0.364
0.142,0.776,228467,0.669,5J1c3M4EldCfNxXwrwt8mT,0,11,0.219,-4.933,1,0.0638,91.012,4,0.661
0.181,0.707,246334,0.791,1ZPpGPko8oULTmi34rozMh,0,5,0.102,-4.481,0,0.035,106.985,4,0.678
0.0907,0.723,225221,0.906,0usLRFLmYXYahKNgXxsuJc,0,1,0.0771,-4.778,0,0.279,125.019,4,0.398
0.205,0.735,193118,0.482,0Szp49tpFasIjX04Mcsydp,0.000194,7,0.0894,-9.21,1,0.0508,175.907,4,0.795
0.148,0.771,164440,0.382,5BDP2tky8oMQJPS33frKVp,0,1,0.104,-6.808,0,0.0514,94.931,4,0.535
0.549,0.788,213027,0.477,7MHN1aCFtLXjownGhvEQlF,0,4,0.349,-7.348,1,0.0434,94.983,4,0.86
0.174,0.649,219683,0.895,6752EZMgXswvRBH3N2PilO,1.95E-06,0,0.095,-1.358,1,0.0394,174.074,4,0.664
0.315,0.754,176133,0.805,48zFZh27QU5qsrBjn4C2FA,0,6,0.203,-4.249,1,0.0752,93.983,4,0.555
0.00431,0.663,259196,0.92,7DM4BPaS7uofFul3ywMe46,1.69E-05,11,0.101,-4.07,0,0.226,99.935,4,0.533
0.275,0.63,203067,0.692,1mdJ39D1lrR3aWIOhgeNaE,0,7,0.167,-4.951,0,0.427,179.877,4,0.82
0.0662,0.77,172827,0.797,14f1n3XCW3fQhAODW0CwLK,3.81E-06,10,0.0858,-4.985,0,0.0693,100.003,4,0.393
0.182,0.79,169620,0.629,33tNYw9oMtSkGe27NpgS64,7.06E-06,8,0.338,-4.055,1,0.142,170.023,4,0.267
0.048,0.632,198933,0.832,7uQmJ1jgNzBpATSoWKSPFu,0,7,0.0705,-1.948,0,0.154,182.184,4,0.784
